id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
587,tajiri,"[58,41,66,43,62,43]","[""t"",""ɑ"",""ʄ"",""i"",""ɾ"",""i""]",1,ADJECTIVE,PERFECT,,
551,teke,"[58,42,73,42]","[""t"",""ɛ"",""k"",""ɛ""]",1,VERB,PERFECT,,
233,tembea,"[58,42,47,42,41]","[""t"",""ɛ"",""mb"",""ɛ"",""ɑ""]",1,VERB,PERFECT,,
213,wao,"[76,41,44]","[""w"",""ɑ"",""ɔ""]",1,NOUN,PERFECT,,
276,watatu,"[76,41,58,41,58,45]","[""w"",""ɑ"",""t"",""ɑ"",""t"",""u""]",1,VERB,PERFECT,,
248,watoto,"[76,41,58,44,58,44]","[""w"",""ɑ"",""t"",""ɔ"",""t"",""ɔ""]",1,NOUN,PERFECT,,
255,watu,"[76,41,58,45]","[""w"",""ɑ"",""t"",""u""]",1,NOUN,PERFECT,,
210,yeye,"[69,42,69,42]","[""j"",""ɛ"",""j"",""ɛ""]",1,NOUN,PERFECT,,
284,za,"[60,41]","[""z"",""ɑ""]",1,,PERFECT,,
293,zake,"[60,41,73,42]","[""z"",""ɑ"",""k"",""ɛ""]",1,NOUN,PERFECT,,
308,afrika,"[41,52,62,43,73,41]","[""ɑ"",""f"",""ɾ"",""i"",""k"",""ɑ""]",0,NOUN,PERFECT,,
296,ali,"[41,63,43]","[""ɑ"",""l"",""i""]",0,,PERFECT,,
268,ananunua,"[41,55,41,55,45,55,45,41]","[""ɑ"",""n"",""ɑ"",""n"",""u"",""n"",""u"",""ɑ""]",0,VERB,PERFECT,,
305,andazi,"[41,55,57,41,60,43]","[""ɑ"",""n"",""ɗ"",""ɑ"",""z"",""i""]",0,VERB,PERFECT,,
307,andika,"[41,56,43,73,41]","[""ɑ"",""nd"",""i"",""k"",""ɑ""]",0,VERB,PERFECT,,
690,arobaini,"[41,62,44,48,41,43,55,43]","[""ɑ"",""ɾ"",""ɔ"",""ɓ"",""ɑ"",""i"",""n"",""i""]",0,,PERFECT,,
279,asali,"[41,61,41,63,43]","[""ɑ"",""s"",""ɑ"",""l"",""i""]",0,NOUN,PERFECT,,
288,asini,"[41,61,43,55,43]","[""ɑ"",""s"",""i"",""n"",""i""]",0,,PERFECT,,
297,asubui,"[41,61,45,48,45,43]","[""ɑ"",""s"",""u"",""ɓ"",""u"",""i""]",0,NOUN,PERFECT,,
310,bahari,"[48,41,77,41,62,43]","[""ɓ"",""ɑ"",""h"",""ɑ"",""ɾ"",""i""]",0,NOUN,PERFECT,,
312,bakuli,"[48,41,73,45,63,43]","[""ɓ"",""ɑ"",""k"",""u"",""l"",""i""]",0,NOUN,PERFECT,,
611,bango,"[48,41,71,44]","[""ɓ"",""ɑ"",""ŋɡ"",""ɔ""]",0,NOUN,PERFECT,,
640,barafu,"[48,41,62,41,52,45]","[""ɓ"",""ɑ"",""ɾ"",""ɑ"",""f"",""u""]",0,NOUN,PERFECT,,
601,bomba,"[48,44,47,41]","[""ɓ"",""ɔ"",""mb"",""ɑ""]",0,NOUN,PERFECT,,
504,bosi,"[48,44,61,43]","[""ɓ"",""ɔ"",""s"",""i""]",0,NOUN,PERFECT,,
271,buibui,"[48,45,43,48,45,43]","[""ɓ"",""u"",""i"",""ɓ"",""u"",""i""]",0,NOUN,PERFECT,,
