id,content_type,content_license,attribution_url,title,cid,download_url,image_format
195,image/jpg,,,storybook-16-ch-1,,/image/195_r2.jpg,JPG
196,image/jpg,,,storybook-16-ch-2,,/image/196_r2.jpg,JPG
197,image/jpg,,,storybook-16-ch-3,,/image/197_r1.jpg,JPG
198,image/jpg,,,storybook-16-ch-4,,/image/198_r1.jpg,JPG
199,image/jpg,,,storybook-16-ch-5,,/image/199_r1.jpg,JPG
200,image/jpg,,,storybook-16-ch-6,,/image/200_r1.jpg,JPG
201,image/jpg,,,storybook-16-ch-7,,/image/201_r1.jpg,JPG
202,image/jpg,,,storybook-16-ch-8,,/image/202_r1.jpg,JPG
203,image/jpg,,,storybook-16-ch-9,,/image/203_r1.jpg,JPG
204,image/jpg,,,storybook-16-ch-10,,/image/204_r1.jpg,JPG
205,image/jpg,,,storybook-16-ch-11,,/image/205_r2.jpg,JPG
206,image/jpg,,,storybook-16-ch-12,,/image/206_r1.jpg,JPG
207,image/jpg,,,storybook-16-ch-13,,/image/207_r2.jpg,JPG
208,image/jpg,,,storybook-16-ch-14,,/image/208_r1.jpg,JPG
209,image/jpg,,,storybook-16-ch-15,,/image/209_r1.jpg,JPG
211,image/jpg,,,storybook-16-ch-17,,/image/211_r1.jpg,JPG
212,image/jpg,,,storybook-16-ch-18,,/image/212_r1.jpg,JPG
213,image/jpg,,,storybook-16-ch-19,,/image/213_r1.jpg,JPG
216,image/jpg,,,storybook-16-ch-22,,/image/216_r2.jpg,JPG
217,image/jpg,,,storybook-16-ch-23,,/image/217_r1.jpg,JPG
218,image/jpg,,,storybook-17-cover,,/image/218_r3.jpg,JPG
219,image/jpg,,,storybook-17-ch-1,,/image/219_r2.jpg,JPG
220,image/jpg,,,storybook-17-ch-2,,/image/220_r1.jpg,JPG
221,image/jpg,,,storybook-17-ch-3,,/image/221_r1.jpg,JPG
222,image/jpg,,,storybook-17-ch-4,,/image/222_r1.jpg,JPG
223,image/jpg,,,storybook-17-ch-5,,/image/223_r1.jpg,JPG
224,image/jpg,,,storybook-17-ch-6,,/image/224_r1.jpg,JPG
225,image/jpg,,,storybook-17-ch-7,,/image/225_r1.jpg,JPG
226,image/jpg,,,storybook-18-cover,,/image/226_r2.jpg,JPG
228,image/jpg,,,storybook-18-ch-2,,/image/228_r2.jpg,JPG
229,image/jpg,,,storybook-18-ch-3,,/image/229_r2.jpg,JPG
