id,text,allophone_ids,allophone_values_ipa,usage_count,word_type,spelling_consistency
124,into,"[78,8,36,18,3]","[""ˈ"",""ɪ"",""n"",""t"",""u""]",6,VERB,PHONEMIC
129,now,"[36,12]","[""n"",""aʊ""]",6,VERB,PHONEMIC
46,red,"[38,7,21]","[""r"",""ɛ"",""d""]",6,NOUN,PERFECT
474,sick,"[29,8,19]","[""s"",""ɪ"",""k""]",6,VERB,NON_PHONEMIC
625,sleep,"[29,34,4,17]","[""s"",""l"",""i"",""p""]",6,VERB,PHONEMIC
141,soon,"[29,3,36]","[""s"",""u"",""n""]",6,,
148,want,"[39,1,36,18]","[""w"",""ɑ"",""n"",""t""]",6,VERB,PERFECT
378,book,"[20,9,19]","[""b"",""ʊ"",""k""]",5,,
86,food,"[25,3,21]","[""f"",""u"",""d""]",5,NOUN,NON_PHONEMIC
39,little,"[78,34,8,18,10,34]","[""ˈ"",""l"",""ɪ"",""t"",""ə"",""l""]",5,,
433,man,"[35,5,36]","[""m"",""æ"",""n""]",5,NOUN,PHONEMIC
112,ate,"[15,18]","[""ɛɪ"",""t""]",4,VERB,HIGHLY_NON_PHONEMIC
63,ball,"[20,2,34]","[""b"",""ɔ"",""l""]",4,NOUN,HIGHLY_PHONEMIC
70,car,"[19,1,38]","[""k"",""ɑ"",""r""]",4,,
119,do,"[21,3]","[""d"",""u""]",4,VERB,NON_PHONEMIC
99,door,"[21,2,38]","[""d"",""ɔ"",""r""]",4,NOUN,PERFECT
664,eyes,[],[],4,,
397,far,"[25,1,38]","[""f"",""ɑ"",""r""]",4,,
104,father,"[78,25,1,28,10,38]","[""ˈ"",""f"",""ɑ"",""ð"",""ə"",""r""]",4,NOUN,NON_PHONEMIC
81,grandmother,"[78,22,38,5,36,21,79,35,6,28,10,38]","[""ˈ"",""g"",""r"",""æ"",""n"",""d"",""ˌ"",""m"",""ʌ"",""ð"",""ə"",""r""]",4,NOUN,PHONEMIC
82,great,"[22,38,7,8,18]","[""g"",""r"",""ɛ"",""ɪ"",""t""]",4,ADJECTIVE,HIGHLY_PHONEMIC
412,hard,"[33,1,38,21]","[""h"",""ɑ"",""r"",""d""]",4,,
47,run,"[38,6,36]","[""r"",""ʌ"",""n""]",4,,
472,shop,"[31,1,17]","[""ʃ"",""ɑ"",""p""]",4,NOUN,NON_PHONEMIC
672,sky,"[29,19,1,8]","[""s"",""k"",""ɑ"",""ɪ""]",4,,
477,soap,"[29,2,9,17]","[""s"",""ɔ"",""ʊ"",""p""]",4,NOUN,PHONEMIC
3,two,"[18,3]","[""t"",""u""]",4,,
84,family,"[78,25,5,35,10,34,4]","[""ˈ"",""f"",""æ"",""m"",""ə"",""l"",""i""]",3,,
