id,text,allophone_ids,allophone_values_ipa,letter_to_allophone_mappings,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
433,sanggol,"[2,1,3,22,6,13]","[""s"",""ɑ"",""ŋ"",""g"",""ɔ"",""l""]","[{""allophones"":""s"",""id"":6,""letters"":""s"",""usageCount"":1079},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970},{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464}]",20,NOUN,PHONEMIC,,
141,sina,"[2,14,5,1,8]","[""s"",""ɪ"",""n"",""ɑ"",""ː""]",[],20,,PERFECT,,
394,tuna,"[7,11,5,1]","[""t"",""u"",""n"",""ɑ""]","[{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",20,NOUN,PERFECT,,
89,iyon,"[14,10,6,5]","[""ɪ"",""j"",""ɔ"",""n""]",[],19,,PERFECT,,
91,lang,"[13,1,3]","[""l"",""ɑ"",""ŋ""]",[],19,,NON_PHONEMIC,,
225,wala,"[23,1,13,1,8]","[""w"",""ɑ"",""l"",""ɑ"",""ː""]",[],19,,PERFECT,,
357,bata,"[20,1,8,7,1]","[""b"",""ɑ"",""ː"",""t"",""ɑ""]","[{""allophones"":""b"",""id"":4,""letters"":""b"",""usageCount"":282},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767}]",18,NOUN,PERFECT,,
378,din,"[17,14,5]","[""d"",""ɪ"",""n""]","[{""allophones"":""d"",""id"":15,""letters"":""d"",""usageCount"":204},{""allophones"":""ɪ"",""id"":14,""letters"":""i"",""usageCount"":675},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116}]",18,,PERFECT,,
112,siyang,"[24,1,3]","[""ʃ"",""ɑ"",""ŋ""]","[{""allophones"":""ʃ"",""id"":24,""letters"":""siy"",""usageCount"":93},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",18,,HIGHLY_NON_PHONEMIC,23,siya
102,nakakalipad,"[5,1,15,1,15,1,13,4,9,1,17]","[""n"",""ɑ"",""k"",""ɑ"",""k"",""ɑ"",""l"",""iː"",""p"",""ɑ"",""d""]",[],17,VERB,PERFECT,,
40,kaibigan,"[15,1,14,20,4,22,1,5]","[""k"",""ɑ"",""ɪ"",""b"",""iː"",""g"",""ɑ"",""n""]",[],16,NOUN,PERFECT,,
314,kalawakan,"[15,1,13,1,23,1,8,15,1,5]","[""k"",""ɑ"",""l"",""ɑ"",""w"",""ɑ"",""ː"",""k"",""ɑ"",""n""]","[{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""w"",""id"":19,""letters"":""w"",""usageCount"":93},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""n"",""id"":5,""letters"":""n"",""usageCount"":1116}]",16,NOUN,PERFECT,,
395,lumot,"[13,11,8,16,6,7]","[""l"",""u"",""ː"",""m"",""ɔ"",""t""]","[{""allophones"":""l"",""id"":16,""letters"":""l"",""usageCount"":464},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707}]",16,NOUN,PERFECT,,
184,munting,"[16,11,5,18,7,14,3]","[""m"",""u"",""n"",""ˈ"",""t"",""ɪ"",""ŋ""]",[],16,ADJECTIVE,PHONEMIC,,
138,tubig,"[7,11,8,20,14,22]","[""t"",""u"",""ː"",""b"",""ɪ"",""g""]",[],16,NOUN,PERFECT,,
294,tumakbo,"[7,11,16,1,15,18,20,6,8]","[""t"",""u"",""m"",""ɑ"",""k"",""ˈ"",""b"",""ɔ"",""ː""]","[{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707},{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""m"",""id"":18,""letters"":""m"",""usageCount"":355},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""b"",""id"":4,""letters"":""b"",""usageCount"":282},{""allophones"":""ɔ"",""id"":9,""letters"":""o"",""usageCount"":601}]",16,VERB,PERFECT,,
296,upang,"[11,8,9,1,3]","[""u"",""ː"",""p"",""ɑ"",""ŋ""]","[{""allophones"":""u"",""id"":11,""letters"":""u"",""usageCount"":406},{""allophones"":""p"",""id"":10,""letters"":""p"",""usageCount"":381},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",16,,PHONEMIC,,
387,bang,"[20,1,3]","[""b"",""ɑ"",""ŋ""]","[{""allophones"":""b"",""id"":4,""letters"":""b"",""usageCount"":282},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""ŋ"",""id"":23,""letters"":""ng"",""usageCount"":970}]",15,,NON_PHONEMIC,,
396,dagat,"[17,1,8,22,1,7]","[""d"",""ɑ"",""ː"",""g"",""ɑ"",""t""]","[{""allophones"":""d"",""id"":15,""letters"":""d"",""usageCount"":204},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""g"",""id"":20,""letters"":""g"",""usageCount"":240},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""t"",""id"":7,""letters"":""t"",""usageCount"":707}]",15,NOUN,PERFECT,,
139,elepante,"[21,13,21,18,9,1,8,5,7,21]","[""ɛ"",""l"",""ɛ"",""ˈ"",""p"",""ɑ"",""ː"",""n"",""t"",""ɛ""]",[],15,NOUN,PERFECT,,
415,kay,"[15,1,10]","[""k"",""ɑ"",""j""]","[{""allophones"":""k"",""id"":17,""letters"":""k"",""usageCount"":453},{""allophones"":""ɑ"",""id"":1,""letters"":""a"",""usageCount"":3767},{""allophones"":""j"",""id"":3,""letters"":""y"",""usageCount"":403}]",15,PREPOSITION,PERFECT,,
