id,content_type,content_license,attribution_url,title,download_url,image_format
258,image/jpeg,CREATIVE_COMMONS_CC_BY,"https://bookdash.org/books/a-tiny-seed-by-nicola-rijsdijk-maya-marshak/","a-tiny-seed_20180405_page14","/image/258.jpg",JPG
259,image/jpeg,CREATIVE_COMMONS_CC_BY,"https://bookdash.org/books/a-tiny-seed-by-nicola-rijsdijk-maya-marshak/","a-tiny-seed_20180405_page15","/image/259.jpg",JPG
260,image/jpeg,CREATIVE_COMMONS_CC_BY,"https://bookdash.org/books/a-tiny-seed-by-nicola-rijsdijk-maya-marshak/","a-tiny-seed_20180405_page17","/image/260.jpg",JPG
261,image/jpg,,,"storybook-20-cover","/image/261.jpg",JPG
282,image/jpg,,,"storybook-21-cover","/image/282.jpg",JPG
263,image/jpg,,,"storybook-20-ch-2","/image/263.jpg",JPG
264,image/jpg,,,"storybook-20-ch-3","/image/264.jpg",JPG
265,image/jpg,,,"storybook-20-ch-4","/image/265.jpg",JPG
266,image/jpg,,,"storybook-20-ch-5","/image/266.jpg",JPG
267,image/jpg,,,"storybook-20-ch-6","/image/267.jpg",JPG
268,image/jpg,,,"storybook-20-ch-7","/image/268.jpg",JPG
269,image/jpg,,,"storybook-20-ch-8","/image/269.jpg",JPG
270,image/jpg,,,"storybook-20-ch-9","/image/270.jpg",JPG
271,image/jpg,,,"storybook-20-ch-10","/image/271.jpg",JPG
272,image/jpg,,,"storybook-20-ch-11","/image/272.jpg",JPG
273,image/jpg,,,"storybook-20-ch-12","/image/273.jpg",JPG
274,image/jpg,,,"storybook-20-ch-13","/image/274.jpg",JPG
275,image/jpg,,,"storybook-20-ch-14","/image/275.jpg",JPG
276,image/jpg,,,"storybook-20-ch-15","/image/276.jpg",JPG
277,image/jpg,,,"storybook-20-ch-16","/image/277.jpg",JPG
278,image/jpg,,,"storybook-20-ch-17","/image/278.jpg",JPG
279,image/jpg,,,"storybook-20-ch-18","/image/279.jpg",JPG
280,image/jpg,,,"storybook-20-ch-19","/image/280.jpg",JPG
281,image/jpg,,,"storybook-20-ch-20","/image/281.jpg",JPG
284,image/jpg,,,"storybook-21-ch-2","/image/284.jpg",JPG
285,image/jpg,,,"storybook-21-ch-3","/image/285.jpg",JPG
286,image/jpg,,,"storybook-21-ch-4","/image/286.jpg",JPG
287,image/jpg,,,"storybook-21-ch-5","/image/287.jpg",JPG
288,image/jpg,,,"storybook-21-ch-6","/image/288.jpg",JPG
289,image/jpg,,,"storybook-21-ch-7","/image/289.jpg",JPG
290,image/jpg,,,"storybook-21-ch-8","/image/290.jpg",JPG
292,image/jpg,,,"storybook-22-cover","/image/292.jpg",JPG
365,image/jpg,,,"storybook-27-ch-14","/image/365.jpg",JPG
366,image/jpg,,,"storybook-27-ch-15","/image/366.jpg",JPG
335,image/jpg,,,"storybook-26-ch-2","/image/335.jpg",JPG
336,image/jpg,,,"storybook-26-ch-3","/image/336.jpg",JPG
337,image/jpg,,,"storybook-26-ch-4","/image/337.jpg",JPG
304,image/jpg,,,"storybook-23-cover","/image/304.jpg",JPG
332,image/jpg,,,"storybook-25-ch-6","/image/332.jpg",JPG
331,image/jpg,,,"storybook-25-ch-5","/image/331.jpg",JPG
329,image/jpg,,,"storybook-25-ch-3","/image/329.jpg",JPG
330,image/jpg,,,"storybook-25-ch-4","/image/330.jpg",JPG
325,image/jpg,,,"storybook-24-ch-9","/image/325.jpg",JPG
333,image/jpg,,,"storybook-26-cover","/image/333.jpg",JPG
328,image/jpg,,,"storybook-25-ch-2","/image/328.jpg",JPG
323,image/jpg,,,"storybook-24-ch-7","/image/323.jpg",JPG
324,image/jpg,,,"storybook-24-ch-8","/image/324.jpg",JPG
322,image/jpg,,,"storybook-24-ch-6","/image/322.jpg",JPG
320,image/jpg,,,"storybook-24-ch-4","/image/320.jpg",JPG
